census_region,age_group,sex,education_5,income_bin,pop_count
East South Central Division,61+,Male,Less than high school degree,0-24999,90452
East South Central Division,61+,Male,Less than high school degree,100000-149999,21128
East South Central Division,61+,Male,Less than high school degree,150000+,16572
East South Central Division,61+,Male,Less than high school degree,25000-49999,85133
East South Central Division,61+,Male,Less than high school degree,50000-99999,62511
East South Central Division,61+,Male,Some college or Associate degree,0-24999,58864
East South Central Division,61+,Male,Some college or Associate degree,100000-149999,90533
East South Central Division,61+,Male,Some college or Associate degree,150000+,73585
East South Central Division,61+,Male,Some college or Associate degree,25000-49999,102730
East South Central Division,61+,Male,Some college or Associate degree,50000-99999,196554
Middle Atlantic Division,18-29,Female,Bachelor degree,0-24999,39733
Middle Atlantic Division,18-29,Female,Bachelor degree,100000-149999,173485
Middle Atlantic Division,18-29,Female,Bachelor degree,150000+,338308
Middle Atlantic Division,18-29,Female,Bachelor degree,25000-49999,62828
Middle Atlantic Division,18-29,Female,Bachelor degree,50000-99999,186576
Middle Atlantic Division,18-29,Female,Graduate degree,0-24999,13094
Middle Atlantic Division,18-29,Female,Graduate degree,100000-149999,73499
Middle Atlantic Division,18-29,Female,Graduate degree,150000+,125423
Middle Atlantic Division,18-29,Female,Graduate degree,25000-49999,18101
Middle Atlantic Division,18-29,Female,Graduate degree,50000-99999,60597
Middle Atlantic Division,18-29,Female,High school degree,0-24999,83931
Middle Atlantic Division,18-29,Female,High school degree,100000-149999,136888
Middle Atlantic Division,18-29,Female,High school degree,150000+,178094
Middle Atlantic Division,18-29,Female,High school degree,25000-49999,118019
Middle Atlantic Division,18-29,Female,High school degree,50000-99999,224046
Middle Atlantic Division,18-29,Female,Less than high school degree,0-24999,30503
Middle Atlantic Division,18-29,Female,Less than high school degree,100000-149999,36089
Middle Atlantic Division,18-29,Female,Less than high school degree,150000+,46538
Middle Atlantic Division,18-29,Female,Less than high school degree,25000-49999,38993
Middle Atlantic Division,18-29,Female,Less than high school degree,50000-99999,60424
Middle Atlantic Division,18-29,Female,Some college or Associate degree,0-24999,69571
Middle Atlantic Division,18-29,Female,Some college or Associate degree,100000-149999,147655
Middle Atlantic Division,18-29,Female,Some college or Associate degree,150000+,191238
Middle Atlantic Division,18-29,Female,Some college or Associate degree,25000-49999,112976
Middle Atlantic Division,18-29,Female,Some college or Associate degree,50000-99999,218693
Middle Atlantic Division,18-29,Male,Bachelor degree,0-24999,33728
Middle Atlantic Division,18-29,Male,Bachelor degree,100000-149999,143754
Middle Atlantic Division,18-29,Male,Bachelor degree,150000+,326460
Middle Atlantic Division,18-29,Male,Bachelor degree,25000-49999,45958
Middle Atlantic Division,18-29,Male,Bachelor degree,50000-99999,144750
Middle Atlantic Division,18-29,Male,Graduate degree,0-24999,6869
Middle Atlantic Division,18-29,Male,Graduate degree,100000-149999,36226
Middle Atlantic Division,18-29,Male,Graduate degree,150000+,77647
Middle Atlantic Division,18-29,Male,Graduate degree,25000-49999,9276
Middle Atlantic Division,18-29,Male,Graduate degree,50000-99999,35699
Middle Atlantic Division,18-29,Male,High school degree,0-24999,68754
Middle Atlantic Division,18-29,Male,High school degree,100000-149999,194065
Middle Atlantic Division,18-29,Male,High school degree,150000+,256569
Middle Atlantic Division,18-29,Male,High school degree,25000-49999,125113
Middle Atlantic Division,18-29,Male,High school degree,50000-99999,277886
Middle Atlantic Division,18-29,Male,Less than high school degree,0-24999,33137
Middle Atlantic Division,18-29,Male,Less than high school degree,100000-149999,47623
Middle Atlantic Division,18-29,Male,Less than high school degree,150000+,75248
Middle Atlantic Division,18-29,Male,Less than high school degree,25000-49999,50452
Middle Atlantic Division,18-29,Male,Less than high school degree,50000-99999,81772
Middle Atlantic Division,18-29,Male,Some college or Associate degree,0-24999,56816
Middle Atlantic Division,18-29,Male,Some college or Associate degree,100000-149999,156679
Middle Atlantic Division,18-29,Male,Some college or Associate degree,150000+,251281
Middle Atlantic Division,18-29,Male,Some college or Associate degree,25000-49999,83999
Middle Atlantic Division,18-29,Male,Some college or Associate degree,50000-99999,209887
Middle Atlantic Division,30-44,Female,Bachelor degree,0-24999,41586
Middle Atlantic Division,30-44,Female,Bachelor degree,100000-149999,272547
Middle Atlantic Division,30-44,Female,Bachelor degree,150000+,588470
Middle Atlantic Division,30-44,Female,Bachelor degree,25000-49999,80527
Middle Atlantic Division,30-44,Female,Bachelor degree,50000-99999,240503
Middle Atlantic Division,30-44,Female,Graduate degree,0-24999,22588
Middle Atlantic Division,30-44,Female,Graduate degree,100000-149999,212535
